Date,Mean Value,Area (km²)
2025-01-01,0.21588967740535736,484.6491
2025-01-21,0.22634576261043549,484.6491
2025-03-14,0.2219502329826355,484.6491
2025-03-17,0.21944405138492584,484.6491
2025-03-22,0.22732974588871002,484.6491
2025-04-01,0.238374263048172,484.6491
2025-04-06,0.25112414360046387,484.6491
2025-04-11,0.2560243606567383,484.6491
2025-04-26,0.3492361307144165,484.6491
2025-06-05,0.6439491510391235,484.6491
2025-07-10,0.5392090082168579,484.6491
2025-07-25,0.5420268177986145,484.6491
2025-07-30,0.5454670786857605,484.6491
2025-08-01,0.5967070460319519,484.6491
2025-10-20,0.49195510149002075,484.6491
2025-10-28,0.47991278767585754,484.6491
2025-11-07,0.37253546714782715,484.6491
2025-11-22,0.2594902515411377,484.6491
2025-11-29,0.22668026387691498,484.6491
